File Name,Extracted Number
I.24.0022 Ocean Park Corporation (ICE27 Aluminum Umbrella).xls,No valid merged cell found or non-numeric value
I.24.0023 Revised - The Fullerton Ocean Park Hotel Hong Kong (ICE27 Aluminum Umbrella  Granite Base).xls,No valid merged cell found or non-numeric value
I.24.0023 The Fullerton Ocean Park Hotel Hong Kong (ICE27 Aluminum Umbrella & Granite Base).xls,No valid merged cell found or non-numeric value
"I.24.0024 The Clearwater Bay Golf & Country Club (FIN27 Fiberglass Square Umbrella, 80kg Base & Buru BS302 Umbrella).xls",No valid merged cell found or non-numeric value
I.24.0025 The Clearwater Bay Golf & Country Club (Stainless Steel Buru Umbrella Base).xls,No valid merged cell found or non-numeric value
I.24.0026 Jones Lang LaSalle Management Services Ltd (ICE25 Aluminum Umbrella).xls,No valid merged cell found or non-numeric value
I.24.0027 Harbour Plaza 8 Degrees (Hardwood Umbrella Frame x 2pcs).xls,No valid merged cell found or non-numeric value
I.24.0028 Mandarin Oriental Macau (GRE30 Umbrella Rib).xls,No valid merged cell found or non-numeric value
I.24.0029 Rosewood Hong Kong (Umbrella & Bar Table G-PO2409-03496).xls,No valid merged cell found or non-numeric value
I.24.0030 Mandarin Oriental Macau (GRE30 Umbrella Rib).xls,No valid merged cell found or non-numeric value
I.24.0031 Kingsford Thailand (Proster LED Connection Plate).xls,No valid merged cell found or non-numeric value
I.24.0032 The Hong Kong Country Club (Umbrella Rib for Buru).xls,No valid merged cell found or non-numeric value
Invoice 03122021 Ms. Nancy Tanaka (Cushion Cover).xls,No valid merged cell found or non-numeric value
Invoice 1232167 Softworks (Sofa Cushion).xls,No valid merged cell found or non-numeric value
"Invoice 220622 - S1233113 Hyatt Regency Hong Kong, Sha Tin (Umbrella & Base).xls",No valid merged cell found or non-numeric value
Invoice 645704 Melco Resorts & Entertainment (303 Fabric Guard)r.xls,No valid merged cell found or non-numeric value
"Invoice 645734 Hyatt Regency Hong Kong, Sha Tin (Umbrella & Base).xls",No valid merged cell found or non-numeric value
Invoice 646602 - S1232866_The Envoy Co. Ltd.xls,No valid merged cell found or non-numeric value
"Invoice 646741 - S1233121 Hyatt Regency Hong Kong, Sha Tin (Umbrella & Base).xls",No valid merged cell found or non-numeric value
"Invoice 646742 - S1233113 Hyatt Regency Hong Kong, Sha Tin (Umbrella & Base).xls",No valid merged cell found or non-numeric value
"Invoice 646742A - S1233113 Hyatt Regency Hong Kong, Sha Tin (Umbrella & Base).xls",No valid merged cell found or non-numeric value
Invoice 646802 - S1107143 Designer Imports WLL (Aruba Hanging Umbrella).xls,No valid merged cell found or non-numeric value
"Invoice 647147 Hyatt Regency Hong Kong, Sha Tin (Umbrella & Base).xls",No valid merged cell found or non-numeric value
Statement - Royal Plaza Hotel (Oct 2023).xls,No valid merged cell found or non-numeric value
"Statement - S1233113 Hyatt Regency Hong Kong, Sha Tin (Umbrella & Base).xls",No valid merged cell found or non-numeric value
"Statement - S1233439 Hyatt Regency Hong Kong, Sha Tin (Umbrella & Base).xls",No valid merged cell found or non-numeric value
Statement - The Clearwater Bay Golf & Country Club (Aug 2023).xls,No valid merged cell found or non-numeric value
Statement - The Clearwater Bay Golf & Country Club (May 2023).xls,No valid merged cell found or non-numeric value
Statement - The Clearwater Bay Golf & Country Club (Sept 2024).xls,No valid merged cell found or non-numeric value
Statement - The Hong Kong Club (Jun 2023).xls,No valid merged cell found or non-numeric value
Statement - The Hong Kong Club (Jun 2024).xls,No valid merged cell found or non-numeric value
Statement - The Murray Hong Kong (Apr 2024).xls,No valid merged cell found or non-numeric value
Statement - The Murray Hong Kong (July 2024).xls,No valid merged cell found or non-numeric value
Statement - The Murray Hong Kong (June 2024).xls,No valid merged cell found or non-numeric value
